cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
32,0,1985,Alfa Romeo,75 / Milano,1:11.108,2,,,,,,,Italy,"$34,724.43",181,246,1325,136.6037736,FR,MT,3.5,4,L,Mike Goulioumis,link,,,,,,,,,,,
33,0,1992,Alfa Romeo,155 Q4,1:14.749,3,,,,,,,Italy,"$82,235.66",138,446,1445,95.5017301,F4,MT,2.5,4,L,Velo,link,torque is completely inaccurate,,,,,,,,,,
34,0,2001,Alfa Romeo,147 2.0 TS,1:17.860,0,,,,,,,Italy,"$45,203.41",129,158,1276,101.0971787,FF,MT,,3,R,Alfa Romeo,irl,,,,,,,,,,,
35,0,2005,Alfa Romeo,147 GTA,1:10.010,0,,,,,,,Italy,"$67,747.99",215,258,1394,154.2324247,FF,MT,,3,R,Alfa Romeo,irl,,,,,,,,,,,
36,0,2006,Alfa Romeo,147 MK2,1:11.940,1,,,,,,,Italy,"$45,203.41",158,188,1250,126.4,FF,MT,3.5,3,R,Simaothekid,link,,,,,,,,,,,
37,0,2005,Alfa Romeo,Brera 3.2 Q4,1:09.817,0,,,,,,,Italy,"$58,703.77",253,320,1700,148.8235294,F4,MT,1,3,L,?,link,,,,,,,,,,,
38,0,2012,Alfa Romeo,Mito QV,1:12.919,0,SM,1:12.414,0,,,,Italy,"$38,699.31",156,216,1140,136.8421053,FF,MT,3.5,3,L,Kunos,AC,,,,,,,,,,,
39,0,2014,Alfa Romeo,Giulietta QV,1:12.191,0,,,,,,,Italy,"$56,287.70",204,321,1390,146.7625899,FF,MT,3,5,L,Kunos,AC,,,,,,,,,,,
40,0,2014,Alfa Romeo,Giulietta QV Launch Ed.,1:11.239,0,,,,,,,Italy,"$60,216.03",209,338,1390,150.3597122,FF,AT,3,5,L,Kunos,AC,,,,,,,,,,,
41,0,2003,Alfa Romeo,156 GTA,1:12.900,0,,,,,,,Italy,"$60,216.03",242,277,1410,171.6312057,RR,MT,,4,L,Alfa Romeo,irl,,,,,,,,,,,
42,0,2016,Alfa Romeo,Giulia Quadrifoglio,1:04.949,0,,,,,,,Italy,"$80,030.00",440,523,1595,275.862069,FR,MT,3.5,4,L,AC,AC,,,,,,,,,,,
43,0,2016,Alfa Romeo,Giulia Quadrifoglio,,,,,,,,,Italy,"$80,030.00",440,523,1595,275.862069,FR,AT,,4,L,ACR,,,,,,,,,,,,
44,0,2021,Alfa Romeo,Giulia Quadrifoglio GTAm,1:03.900,0,MPSC2,0:58.432,3,,,,Italy,"$225,000.00",513,682,1595,321.630094,FR,AT,3,4,L,MNBA,link,"torque seems a bit too high + had to test on ""Hypercar Road"" bc ""Pilot Cup 2"" were way too grippy felt like literal slot/f2 car",,,,,,,,,,
45,0,2018,Alfa Romeo,Stelvio QV,,,,,,,,,Italy,"$88,720.00",440,523,1665,264.2642643,F4,AT,,5,L,Mesa,link,,,,,,,,,,,
46,0,1986,Alpina,B6 2.8 (E30),,,,,,,,,Germany,,143,200,1255,113.9442231,F4,MT,,2,L,ATS,link,,,,,,,,,,,
47,0,1988,Alpina,C2 2.7 Touring XDrive (E30),,,,,,,,,Germany,,174,238,1300,133.8461538,F4,MT,,5,L,viper & abbo90,link,,,,,,,,,,,
48,0,1987,Alpina,B6 3.5S (E30),,,,,,,,,Germany,,255,256,1200,212.5,FR,MT,,2,L,Opperslang (Kunos Update),link,,,,,,,,,,,
49,0,1995,Alpina,B3 3.0 Edition 30 (E36),,,,,,,,,Germany,,217,269,1300,166.9230769,FR,MT,,2,L,?,link,,,,,,,,,,,
50,0,1995,Alpina,B8 4.0 (E36),,,,,,,,,Germany,,307,350,1375,223.2727273,FR,MT,,4,L,?,link,,,,,,,,,,,
51,0,2012,Alpina,B3 S Bi-Turbo xDrive (F30),,,,,,,,,Germany,,396,595,1500,264,F4,AT,,4,L,MEHMET BATAR,link,,,,,,,,,,,
52,0,2020,Alpina,D3 S (G20),,,,,,,,,Germany,,319,633,1950,163.5897436,FR,AT,,4,L,EX Mods,link,,,,,,,,,,,
53,0,2012,Alpina,B5 Bi-Turbo (F10),,,,,,,,,Germany,,461,559,1970,234.0101523,FR,AT,,4,L,AssettoDrive,link,,,,,,,,,,,
54,0,2016,Alpina,B5 Bi-Turbo Edition 50 (F10),,,,,,,,,Germany,,527,638,1970,267.5126904,FR,AT,,4,L,AssettoDrive,link,,,,,,,,,,,
55,0,1984,Alpina,B7S Turbo Coupe (E24),,,,,,,,,Germany,,337,403,1460,230.8219178,FR,MT,,2,L,Assetto Garage (U. kodai),link,,,,,,,,,,,
56,0,1961,Alpine,Renault A110 1600S,,,,,,,,,France,"$97,878.21 ",108,145,650,166.1538462,RR,MT,,2,L,ぱんだ＆そーりゅー＆おさつべい,link,,,,,,,,,,,
57,0,1990,Alpine,GTA V6 Turbo Le Mans,,,,,,,,,France,"$142,726.93 ",151,219,1180,127.9661017,RR,MT,,2,L,Mike173 & Andrea75,link,,,,,,,,,,,
58,2,2017,Alpine,A110,1:05.04,0,,,,,,,France,"$57,385.00",234,317,1111,210.6210621,MR,AT,,2,L,Alpine,irl,,,,,,,,,,,
59,2,2017,Alpine,A110 Premiere Ed.,1:04.444,0,,,,,,,France,"$57,385.00",216,290,1080,200,MR,AT,4.5,2,L,Lucac26,Youtube,"joy to drive, pretty model",,,,,,,,,,
60,0,1971,AMC,Javelin,,,,,,,,,USA,"$25,529.21",372,583,1475,252.2033898,FR,MT,,2,L,DV Gamemods,link,,,,,,,,,,,
61,0,2009,Ariel,Atom 3 SC,1:00.971,0,,,,,,,Britain,"$101,467.67",261,242,595,438.6554622,MR,MT,4,0,R,101Creative (AO Mods),Patreon,very fast very evil wanted to kill me,,,,,,,,,,
62,0,2008,Ariel,Atom V8,,,,,,,,,Britain,"$261,799.54",435,336,595,731.092437,MR,MT,,0,R,Jandrovi,link,,,,,,,,,,,
63,0,2012,Ascari,KZR1,1:02.844,0,,,,,,,Britain,"$681,814.67 ",451,482,1135,397.3568282,MR,MT,4,2,R,101Creative (AO Mods),Patreon,the british are masochists and/or evil,,,,,,,,,,
64,0,2010,Aston Martin,Rapide,,,,,,,,,Britain,"$269,819.59 ",409,522,1990,205.5276382,FR,AT,,4,B,Jerry Wei,Patreon,,,,,,,,,,,
65,0,2008,Aston Martin,DBS,,,,,,,,,Britain,"$362,042.71 ",455,600,1615,281.7337461,FR,MT,,2,L,PedroBLR,link,too much power esp torque,,,,,,,,,,
66,0,2012,Aston Martin,DBS,,,,,,,,,Britain,"$355,338.38",440,492,1620,271.6049383,FR,AT,,2,L,Markos Kass,link,,,,,,,,,,,
67,0,2001,Aston Martin,Vanquish V12,,,,,,,,,Britain,"$421,384.74",536,585,1800,297.7777778,FR,AT,,2,R,PedroBLR,link,too much powwer,,,,,,,,,,
68,0,2013,Aston Martin,Vanquish V12,,,,,,,,,Britain,"$358,776.32",497,568,1835,270.8446866,FR,AT,,2,L,Assettodrive,link,,,,,,,,,,,
69,0,2017,Aston Martin,Vanquish V12S,,,,,,,,,Britain,"$381,477.24",557,510,1477,377.1157752,FR,AT,,2,L,SS,link,too light,,,,,,,,,,
70,0,2018,Aston Martin,DB11,1:05.200,0,,,,,,,Britain,"$237,922.35",510,595,1770,288.1355932,FR,AT,2.5,2,R,?,link,,,,,,,,,,,
71,0,2019,Aston Martin,DBS Superleggera,,,,,,,,,Britain,"$319,125.00",622,789,1767,352.0090549,FR,AT,,2,L,Chivas Autoart,link,,,,,,,,,,,
72,0,1960,Aston Martin,DB4 GT,1:08.756,1,,,,,,,Britain,"$151,429.62 ",229,279,1230,186.1788618,FR,MT,3.5,2,R,Velo,link,lap time seems too fast for vintage tires but not sure,,,,,,,,,,
