cID,compID,Year,Brand,Model,Lap Time I,RC I,Tire II,Lap Time II,RC II,Tire III,Lap Time III,RC III,Country,MSRP (2022 USD),WHP,WTQ,Weight,P/W (hp/t),Layout,Trans,Rating,DR,_HD,Author,Source,Comments / Other Times,,,,,,,,,,
381,0,2012,Dodge,Charger SRT8,1:08.813,0,,,,,,,USA,"$60,737.87 ",470,637,1980,237.3737374,FR,AT,1,4,L,Bruce K.,link,ffb completely uncommunicative and broken,,,,,,,,,,
382,0,2019,Dodge,Charger Pursuit V6 RWD,1:11.609,0,,,,,,,USA,"$32,745.00 ",292,353,1855,157.4123989,FR,AT,3,4,L,Bruce K.,link,all charger police cars seem about right but are relatively boring to drive,,,,,,,,,,
383,0,2019,Dodge,Charger Pursuit V6 AWD,1:11.416,0,,,,,,,USA,"$34,000.00 ",292,353,1937.7,150.6941219,F4,AT,3,4,L,Bruce K.,link,,,,,,,,,,,
384,0,2019,Dodge,Charger Pursuit V8 RWD,1:10.867,0,,,,,,,USA,"$36,000.00 ",370,536,1969,187.912646,FR,AT,3,4,L,Bruce K.,link,,,,,,,,,,,
385,0,2019,Dodge,Charger Pursuit V8 AWD,1:08.814,0,,,,,,,USA,"$36,995.00 ",370,536,2051.1,180.3910097,F4,AT,3,4,L,Bruce K.,link,"all ""bruce k"" cars seems to have unrealistic levels of grip on any tire option other than ""street"" in addition to bhp=whp ",,,,,,,,,,
386,0,2021,Dodge,Charger R/T Scat Pack,1:08.832,0,,,,,,,USA,"$49,140.00 ",485,644,1983,244.5789208,FR,AT,3.5,4,L,Bruce K.,link,,,,,,,,,,,
387,0,2020,Dodge,Charger SRT Hellcat Widebody,1:06.732,0,,,,,,,USA,"$79,445.00 ",717,881,2027,353.7247163,FR,AT,3,4,L,Bruce K.,link,,,,,,,,,,,
388,0,2021,Dodge,Charger SRT Hellcat Redeye Widebody,1:07.297,0,,,,,,,USA,"$88,140.00 ",797,959,2027,393.1919092,FR,AT,2.5,4,L,Bruce K.,link,higher power exposes poor ffb/handling model of mod more,,,,,,,,,,
389,0,1996,Dodge,Stealth Turbo R/T,1:07.769,0,,,,,,,USA,"$63,591.41 ",323,429,1722,187.57259,F4,MT,3.5,2,L,Uncle M,link,ffb is kind of dead but car is not too bad,,,,,,,,,,
390,0,2005,Dodge,SRT-4 ACR,1:10.209,0,,,,,,,USA,"$31,802.46 ",200,295,1305,153.256705,FF,MT,4,4,L,101Creative,link,"high fidelity ffb , good believable physics and limit handling",,,,,,,,,,
391,33,1992,Dodge,Viper RT/10,1:07.89,0,,,,,,,USA,"$111,733.50 ",356,556,1543,230.7193778,FR,MT,,2,L,Dodge,irl,,,,,,,,,,,
392,33,1995,Dodge,Viper RT/10,1:06.415,1,SM,1:04.913,2,,,,USA,"$111,733.50 ",341,535,1494,228.2463186,FR,MT,3.5,2,L,A3DR,RD,"seems too planted considering cars reputation but when seperating mod from reputation, the car is a good quality mod",,,,,,,,,,
1485,33,1992,Dodge,Viper RT/10,,,,,,,,,USA,"$111,733.50 ",348,549,1542,225.6809339,FR,MT,,2,L,Real Specs,PAtreon,,,,,,,,,,,
393,0,1996,Dodge,Viper GTS,,,,,,,,,USA,"$123,105.70 ",391,578,1535,254.723127,FR,MT,,2,L,GeroDa74,link,,,,,,,,,,,
394,0,1999,Dodge,Viper GTS ACR,1:07.115,0,SM,1:05.823,0,HR,1:04.402,0,USA,"$141,119.49 ",400,590,1562,256.0819462,FR,MT,3,2,L,Gibbons,link,,,,,,,,,,,
395,0,2003,Dodge,Viper SRT10,1:05.578,0,SM,1:04.041,0,,,,USA,"$135,367.64 ",468,576,1550,301.9354839,FR,MT,3,2,L,PedroBLR,link,,,,,,,,,,,
396,0,2013,Dodge,Viper GTS Track Pack,1:04.157,0,HR,1:02.894,0,,,,USA,"$158,151.26 ",556,681,1530,363.3986928,FR,MT,4,2,L,BZ Simworks,FB,"all BZ vipers share this trait but is most apparent in GTS- the front tires feel like they come preworn and the cars understeer far more than irl (no front end ""bite"")",,,,,,,,,,
397,0,2014,Dodge,Viper TA,1:03.796,0,HR,1:02.510,0,,,,USA,"$151,354.86 ",556,681,1520,365.7894737,FR,MT,4,2,L,BZ Simworks,FB,less understeery than gts,,,,,,,,,,
398,0,2016,Dodge,Viper TA 2.0,1:02.924,0,HR,1:01.968,0,,,,USA,"$130,994.22 ",556,681,1520,365.7894737,FR,MT,4.5,2,L,BZ Simworks,FB,the BZ vipers with aero feel substantially better at low speeds puzzlingly and are accordingly more enjoyable,,,,,,,,,,
399,0,2016,Dodge,Viper ACR,1:01.918,0,HR,1:00.105,0,,,,USA,"$149,359.86 ",556,681,1520,365.7894737,FR,MT,5,2,L,BZ Simworks,FB,ACR still has slightly too little grip in the front but is nonetheless one of the most enjoyable mod cars ive driven to date,,,,,,,,,,
400,0,2016,Dodge,Viper ACR Extreme Package,1:01.345,0,HR,0:59.137,0,,,,USA,"$157,773.47 ",556,681,1520,365.7894737,FR,MT,5,2,L,BZ Simworks,FB,all of the above + just plain better; best BZ simworks viper,,,,,,,,,,
401,0,2012,Eagle,Speedster 4.7,1:04.943,2,SM,1:03.165,3,,,,Britain,"$1,000,000.00 ",297,440,1008,294.6428571,FR,MT,3,2,R,Velo,link,hard to gauge whether its too fast because this is outside my knowledge but the feel is a little odd,,,,,,,,,,
402,0,1969,Ferrari,246 GT Dino,1:13.173,2,SM,1:10.229,3,,,,Italy,"$115,626.96 ",179,210,1080,165.7407407,MR,MT,2,2,L,Full Throttle,,too grippy feels almost awd let alone mid engine from the 60s,,,,,,,,,,
403,0,1972,Ferrari,246 GTS Dino,1:15.699,0,SM,1:13.891,2,,,,Italy,"$115,626.96 ",167,195,1100,151.8181818,MR,MT,2.5,2,L,GeroDa74,,feels more believable compared to above but still has odd handling characteristics,,,,,,,,,,
404,0,1977,Ferrari,308 GTS,1:14.173,0,SM,1:12.963,0,,,,Italy,"$138,987.37 ",220,251,1340,164.1791045,MR,MT,2,2,L,GeroDa74,link,if you have nothing nice to say dont say anything at all,,,,,,,,,,
1495,0,1980,Ferrari,308 GTS,,,,,,,,,Italy,"$138,987.37 ",178,213,1463,121.6678059,MR,MT,,2,L,101Creative,Patreon,,,,,,,,,,,
405,0,1989,Ferrari,348 Spider,1:04.861,3,,,,,,,Italy,"$224,212.13 ",308,324,1302,236.5591398,MR,MT,3,2,L,MNBA,Patreon,"seems to be a common pattern where MNBA cars are extremely over tyred and too grippy, car feels about right powerwise but feels like an 80s supercar on Cup 2's",,,,,,,,,,
406,34,1989,Ferrari,348TB,1:09.50,0,,,,,,,Italy,"$224,212.13 ",254,270,1393,182.3402728,MR,MT,,2,L,Ferrari,irl,,,,,,,,,,,
407,34,1989,Ferrari,348TB,1:06.926,3,SM,1:05.718,3,,,,Italy,"$224,212.13 ",297,344,1393,213.2089017,MR,MT,3.5,2,L,Raven Maid,link,"optimistic power and torque, tires have too much grip, too fast",,,,,,,,,,
408,35,1995,Ferrari,F355 Berlinetta,1:07.89,0,,,,,,,Italy,"$262,122.84 ",314,305,1447,217.0006911,MR,MT,,2,L,Ferrari,irl,,,,,,,,,,,
409,35,1998,Ferrari,F355 Berlinetta,1:07.902,0,SM,1:05.724,0,ST,1:06.445,0,Italy,"$262,122.84 ",326,316,1448,225.1381215,MR,MT,4,2,L,GadU BoyZ Mod,Patreon,"delight to drive, well made",,,,,,,,,,
410,0,1999,Ferrari,360 Modena,1:05.25,0,,,,,,,Italy,"$265,682.66 ",337,331,1451,232.2536182,MR,AT,,2,L,Ferrari,irl,,,,,,,,,,,
411,0,2003,Ferrari,360 Challenge Stradale,1:05.945,0,,,,,,,Italy,"$314,493.59 ",365,339,1430,255.2447552,MR,MT,4,2,L,Jandrovi,Youtube,"challenging as a mid engine race car for the road should be, time could probably be a little faster",,,,,,,,,,
412,0,2003,Ferrari,360 Challenge Stradale,,,,,,,,,Italy,"$314,493.59 ",365,325,1280,285.15625,MR,B,,2,L,GadU BoyZ Mod,Patreon,,,,,,,,,,,
413,0,2004,Ferrari,F430,1:04.443,0,,,,,,,Italy,"$325,637.68 ",438,412,1350,324.4444444,MR,B,3.5,2,L,MNBA,Patreon,,,,,,,,,,,
414,0,2008,Ferrari,SP1,,,,,,,,,Italy,"$1,000,000.00 ",438,412,1500,292,MR,AT,,2,L,DanielDi,Patreon,,,,,,,,,,,
415,0,2007,Ferrari,F430 Scuderia,1:08.31,-1,,,,,,,Italy,"$383,255.54 ",449,431,1376,326.3081395,MR,AT,,2,L,Ferrari,irl,wet track irl- cant be used as valid comp,,,,,,,,,,
416,0,2007,Ferrari,F430 Scuderia,1:01.946,1,,,,,,,Italy,"$383,255.54 ",439,407,1350,325.1851852,MR,AT,4,2,L,Binary Motors (Jerry Wei),link,,,,,,,,,,,
417,36,2009,Ferrari,458 Italia,1:02.24,0,,,,,,,Italy,"$314,124.47 ",464,438,1529,303.4663179,MR,AT,,2,L,Ferrari,irl,,,,,,,,,,,
418,36,2011,Ferrari,458 Italia,1:02.530,0,,,,,,,Italy,"$314,124.47 ",499,466,1573,317.2282263,MR,AT,4,2,L,Kunos,AC,,,,,,,,,,,
419,0,2013,Ferrari,458 Speciale,1:00.661,0,,,,,,,Italy,"$366,507.91 ",575,537,1395,412.1863799,MR,AT,5,2,L,Jandrovi,Youtube,very satisfying to drive- i may be becoming a mid engine enjoyer,,,,,,,,,,
420,0,2015,Ferrari,488 GTB,1:00.578,0,,,,,,,Italy,"$324,302.38 ",548,590,1370,400,MR,AT,4,2,L,Kunos,AC (3P),seems a little too grippy for the stocks it comes with from the factory but a believable time given a tire change  to a slightly hotter tire or maybe even perfect conditions,,,,,,,,,,
421,0,2018,Ferrari,488 Pista,,,,,,,,,Italy,"$374,284.06 ",623,680,1350,461.4814815,MR,AT,,2,L,ACR,FB,,,,,,,,,,,
422,0,2019,Ferrari,488 Pista,0:59.000,1,,,,,,,Italy,"$374,284.06 ",623,670,1285,484.8249027,MR,AT,5,2,L,BZ Simworks,FB,"despite seeming a little fast , very satisfying to drive highly recommend",,,,,,,,,,
423,0,2019,Ferrari,488 Pista Spider,0:59.690,,,,,,,,Italy,"$393,507.11 ",623,670,1380,451.4492754,MR,AT,5,2,L,BZ Simworks,FB,,,,,,,,,,,
424,0,2020,Ferrari,F8 Tributo,1:00.951,,,,,,,,Italy,"$312,713.76 ",548,590,1370,400,MR,AT,3,2,L,Rollovers,link,whp wtq seems too low for once,,,,,,,,,,
425,0,2021,Ferrari,F8 Tributo,,,,,,,,,Italy,"$312,713.76 ",624,671,1350,462.2222222,MR,AT,,2,L,ACR,FB,,,,,,,,,,,
426,0,2020,Ferrari,SF90 Stradale,0:58.971,0,Trofeo,0:57.337,1,,,,Italy,"$528,765 ",655,689,1570,417.1974522,M4,AT,4,2,L,MNBA,Patreon,seems too fast on the hotter tires but drives like the hypercar in supercar clothing it is,,,,,,,,,,
427,0,2020,Ferrari,SF90 Stradale,,,,,,,,,Italy,"$528,765 ",675,695,1570,429.9363057,M4,AT,,2,L,ACR,FB,,,,,,,,,,,
428,0,2023,Ferrari,296 GTS,,,,,,,,,Italy,"$371,139 ",655,689,1540,425.3246753,MR,AT,,2,L,Binary Motors,link,,,,,,,,,,,
429,0,1959,Ferrari,250 GT Berlinetta,1:11.351,2,,,,,,,Italy,"$134,511.06 ",240,247,1040,230.7692308,FR,MT,2,2,L,GeroDa74,link,too grippy and physics/ff is extremely unpolished,,,,,,,,,,
430,0,1964,Ferrari,275 GTB,1:12.042,2,,,,,,,Italy,"$153,295.91 ",290,294,1100,263.6363636,FR,MT,2.5,2,L,GeroDa74,link,"not sure if real 60s tires could pull this time off, regardless unpolished physics/ff again ",,,,,,,,,,
431,0,1969,Ferrari,365 GTB,1:11.586,2,,,,,,,Italy,"$163,988.18 ",312,389,1600,195,FR,MT,2.5,2,L,?,link,"not sure if real 60s tires could pull this time off, regardless unpolished physics/ff again ",,,,,,,,,,
432,0,1976,Ferrari,512 BB,1:07.879,3,,,,,,,Italy,"$195,446.78 ",318,397,1425,223.1578947,MR,MT,3,2,L,GeroDa74,link,drivable but way too fast,,,,,,,,,,
433,37,1984,Ferrari,Testarossa,1:10.63,0,,,,,,,Italy,"$264,770.44 ",319,386,1657,192.5165963,MR,MT,,2,L,Ferrari,irl,,,,,,,,,,,
434,37,1984,Ferrari,Testarossa,1:06.690,2,,,,,,,Italy,"$264,770.44 ",327,461,1500,218,MR,MT,3,2,L,PedroBLR,link,"too fast, feels like a modern car",,,,,,,,,,
435,37,1984,Ferrari,Testarossa,,,,,,,,,Italy,"$264,770.44 ",334,426,1630,204.9079755,MR,MT,,2,L,Real Specs,patreon,,,,,,,,,,,
436,38,1991,Ferrari,512TR,1:08.68,0,,,,,,,Italy,"$419,000.64 ",409,482,1591,257.0710245,MR,MT,,2,L,Ferrari,irl,,,,,,,,,,,
437,38,1994,Ferrari,512TR,1:07.016,1,ST,1:04.996,2,,,,Italy,"$419,000.64 ",381,442,1573,242.2123331,MR,MT,4,2,L,A3DR,RD,mod aligns with how i imagine this car drives irl and either way quite enjoyable,,,,,,,,,,
438,0,2003,Ferrari,575 Maranello,1:06.105,0,,,,,,,Italy,"$326,506.81 ",443,512,1730,256.0693642,FR,B,3.5,2,L,GadU BoyZ Mod,Patreon,hq model,,,,,,,,,,
439,0,2006,Ferrari,599 GTB,1:05.92,0,,,,,,,Italy,"$377,482.48 ",532,528,1787,297.7056519,MR,AT,,2,L,Ferrari,irl,,,,,,,,,,,
440,0,2010,Ferrari,599 GTO,1:00.030,0,Trofeo,0:59.339,2,,,,Italy,"$604,691.41 ",583,549,1495,389.9665552,FR,AT,3.5,2,L,MNBA,Patreon,"too fast on hotter tire, stock tire time seems plausible",,,,,,,,,,
441,0,2012,Ferrari,F12 Berlinetta,1:01.273,0,MPC2R,0:57.135,3,Trofeo,0:59.597,2,Italy,"$407,886.98 ",664,599,1525,435.4098361,FR,AT,3.5,2,L,MNBA,Patreon,"59.597 on ""HPTrofeo"", 57.135 on MPC2R; way too fast on the hotter tires",,,,,,,,,,
442,0,2012,Ferrari,F12 TDF,0:59.882,0,MPC2R,0:58.429,2,Trofeo,0:58.941,1,Italy,"$792,332.84 ",705,650,1520,463.8157895,FR,AT,3.5,2,L,MNBA,Patreon,"58.941 on ""HPTrofeo"", 58.429 on MPC2R; other times almost plausible but feels too planted imo",,,,,,,,,,
443,0,2017,Ferrari,GTC4 Lusso,,,,,,,,,Italy,"$371,905.94 ",530,602,1790,296.0893855,FR,AT,,2,L,Kuyoart,link,probably v8,,,,,,,,,,
444,0,2017,Ferrari,812 Superfast,1:00.443,0,,,,,,,Italy,"$517,884.54 ",700,628,1525,459.0163934,FR,AT,4,2,L,Kunos,AC (FP),,,,,,,,,,,
445,0,2021,Ferrari,812 GTS,,,,,,,,,Italy,"$433,765 ",683,612,1700,401.7647059,FR,AT,,2,L,MNBA,Patreon,,,,,,,,,,,
446,0,2019,Ferrari,Monza SP1/SP2,,,,,,,,,Italy,"$1,800,000 ",686,598,1500,457.3333333,FR,AT,,2,L,Lu Thua Kien,link,,,,,,,,,,,
447,0,2022,Ferrari,812 Competizione,0:59.767,0,,,,,,,Italy,"$601,567 ",747,658,1480,504.7297297,FR,AT,4,2,L,CekyPerformance,Patreon,,,,,,,,,,,
448,0,1960,Ferrari,250 GT California,1:13.84,1,,,,,,,Italy,"$118,644.26 ",240,247,1050,228.5714286,FR,MT,2.5,2,L,GeroDa74,link,,,,,,,,,,,
449,0,2009,Ferrari,California,1:06.392,0,SM,1:05.436,0,,,,Italy,"$269,210.57 ",394,422,1730,227.7456647,FR,AT,3.5,2,L,101Creative (AO Mods),Patreon,,,,,,,,,,,
450,0,2015,Ferrari,California T,1:05.084,3,MPSS,1:03.482,3,R888R,1:00.974,3,Italy,"$250,311.45 ",597,525,1800,331.6666667,FR,AT,2,2,L,TGN,Patreon,"power way too high, torque too low",,,,,,,,,,
451,0,2019,Ferrari,Portofino Spider,1:03.238,0,,,,,,,Italy,"$245,579.86 ",517,594,1740,297.1264368,FR,AT,3,2,L,Jandrovi,Youtube,,,,,,,,,,,
452,0,2021,Ferrari,Roma,1:00.297,3,,,,,,,Italy,"$247,310 ",632,602,1570,402.5477707,FR,AT,3,2,L,MNBA,Patreon,power way too high,,,,,,,,,,
453,0,1962,Ferrari,250 GTO,1:09.803,1,,,,,,,Italy,"$174,430.63 ",243,271,880,276.1363636,FR,MT,4,2,L,Kunos,AC (FP),,,,,,,,,,,
454,0,1984,Ferrari,288 GTO,1:08.180,0,ST,1:05.151,1,SM,1:04.191,2,Italy,"$226,835.47 ",336,422,1160,289.6551724,MR,MT,4,2,L,Kunos,AC (FP),,,,,,,,,,,
455,39,1987,Ferrari,F40,1:03.73,0,,,,,,,Italy,"$1,028,288.52 ",438,515,1283,341.3873733,MR,MT,,2,L,Ferrari,irl,,,,,,,,,,,
456,39,1987,Ferrari,F40,1:06.907,0,ST,1:03.970,0,SM,1:03.359,1,Italy,"$1,028,288.52 ",423,492,1175,360,MR,MT,4,2,L,Kunos,AC,,,,,,,,,,,
457,39,1992,Ferrari,F40,1:02.493,2,,,,,,,Italy,"$1,028,288.52 ",471,579,1254,375.5980861,MR,MT,,2,L,F40LMLover,youtube,,,,,,,,,,,
458,40,1995,Ferrari,F50,1:05.81,0,,,,,,,Italy,"$912,149.09 ",440,403,1334,329.8350825,MR,MT,,2,L,Ferrari,irl,,,,,,,,,,,
459,40,1995,Ferrari,F50,1:03.334,0,SMS,0:59.225,3,,,,Italy,"$912,149.09 ",451,387,1230,366.6666667,MR,MT,3.5,2,L,Dan Bucas (Jandrovi),Patreon,sms are modern tires,,,,,,,,,,
460,0,2002,Ferrari,Enzo,1:01.792,0,,,,,,,Italy,"$1,072,041.10 ",564,560,1365,413.1868132,MR,AT,3,2,L,ACR,link,,,,,,,,,,,
461,0,2002,Ferrari,Enzo,0:59.342,2,,,,,,,Italy,"$1,072,041.10 ",594,643,1365,435.1648352,MR,AT,3,2,L,Assettodrive,link,"power little too high, unrealistic levels of grip/pace",,,,,,,,,,
462,0,2002,Ferrari,Enzo,,,,,,,,,Italy,"$1,072,041.10 ",566,571,1200,471.6666667,MR,AT,,2,L,Yasuo (BM),Patreon,too light,,,,,,,,,,
463,0,2002,Ferrari,Enzo,,,,,,,,,Italy,"$1,072,041.10 ",566,571,1365,414.6520147,MR,AT,,2,L,Yasuo,link,,,,,,,,,,,
464,0,2013,Ferrari,LaFerrari,0:59.372,0,HTrofeo,0:56.883,2,,,,Italy,"$1,755,559.19 ",700,614,1370,510.9489051,MR,AT,3.5,2,L,Kunos,AC,,,,,,,,,,,
465,0,2015,Ferrari,LaFerrari,,,,,,,,,Italy,"$1,755,559.19 ",700,614,1480,472.972973,MR,AT,,2,L,S. Stirpe,Patreon,,,,,,,,,,,
466,0,1966,Fiat,124 Sedan,,,,,,,,,Italy,"$17,342.57 ",71,102,725,97.93103448,FR,MT,,4,L,ABB Creations,link,,,,,,,,,,,
467,0,1976,Fiat,126,1:41.675,0,,,,,,,Italy,"$6,103.59 ",20,27,580,34.48275862,RR,MT,3,4,L,ACR,link,,,,,,,,,,,
468,0,1974,Fiat,131,1:28.091,0,,,,,,,Italy,"$23,495.57 ",75,123,985,76.14213198,FR,MT,3,3,L,ACR,link,,,,,,,,,,,
469,0,1992,Fiat,Panda 900,,,,,,,,,Italy,"$11,155.55 ",44,64,715,61.53846154,FF,MT,,3,L,SATLAB,link,,,,,,,,,,,
470,0,1994,Fiat,Punto 1.2 (Mk 1),1:19.000,0,,,,,,,Italy,"$11,833.16 ",72,96,1000,72,FF,MT,,3,L,Fiat,irl,,,,,,,,,,,
471,0,1996,Fiat,Coupe 2.0 20v Turbo,1:14.062,0,Pirelli0,1:12.116,0,SM,1:11.234,1,Italy,"$65,039.51 ",192,275,1310,146.5648855,FF,MT,2,2,L,AC Cars Reworked,link,me no likey,,,,,,,,,,
472,0,1996,Fiat,Coupe 2.0 20v Turbo,1:12.897,0,ST,1:11.022,1,,,,Italy,"$65,039.51 ",191,270,1315,145.2471483,FF,MT,4,2,R,101Creative,Patreon,me likey very enjoyable fwd experience,,,,,,,,,,
473,0,2012,Fisker,Karma EcoSport,,,,,,,,,USA,"$123,508.83 ",353,1131,2400,147.0833333,FR,AT,,4,L,DanielDi,Patreon,,,,,,,,,,,
474,0,1969,Ford,F350,,,,,,,,,USA,"$22,734.65 ",216,410,1805,119.66759,F4,MT,,2,L,?,link,,,,,,,,,,,
475,0,1969,Ford,F350 Stairs,1:31.004,0,,,,,,,USA,"$22,734.65 ",216,410,3525,61.27659574,FR,MT,5,2,L,?,RD,perfection,,,,,,,,,,
476,0,2011,Ford,F150 SVT Raptor,,,,,,,,,USA,"$56,628.00 ",471,588,2724,172.907489,F4,AT,,4,L,Orbit4L,link,,,,,,,,,,,
477,0,2017,Ford,F150 Raptor,,2,,,,,,,USA,"$60,365.04 ",451,692,2500,180.4,F4,AT,,4,L,PTTMods,Patreon,power too high,,,,,,,,,,
478,0,2021,Ford,F-450 Platinum Powerstroke,,,,,,,,,USA,,445,1254,3756,118.4771033,F4,AT,,4,L,,,,,,,,,,,,,
479,0,2019,Ford,Ranger Raptor,,,,,,,,,USA,"$50,561.26 ",174,501,2425,71.75257732,F5,AT,,4,R,,,,,,,,,,,,,
480,0,2005,Ford,Transit,1:30.102,0,,,,,,,USA (UK),"$30,934.60 ",83,226,2070,40.09661836,FR,MT,5,5,R,Gary Paterson,RD,rest in peace sabine <3,,,,,,,,,,
481,0,2010,Ford,Crown Victoria Police Interceptor,1:12.603,2,,,,,,,USA,"$37,264.50 ",239,389,1929,123.8983929,FR,AT,3,4,L,Bruce K.,link,"power too high, and time is not accurate due to manual gear selection of automatic",,,,,,,,,,
482,0,2005,Ford,GT,1:05.817,0,HR,1:04.214,0,SM,1:02.866,0,USA,"$214,801.59 ",550,677,1580,348.1012658,MR,MT,4,2,L,Wolf24,Discord,extremely taxing but rewarding to drive,,,,,,,,,,
483,0,2017,Ford,GT,0:59.728,0,,,,,,,USA,"$541,745.20 ",561,649,1457,385.0377488,MR,AT,4,2,L,Axis/Paris,Youtube,"good ffb and general look, feel, and polish is top notch",,,,,,,,,,
484,0,2017,Ford,GT,1:01.244,0,,,,,,,USA,"$541,745.20 ",565,636,1450,389.6551724,MR,AT,3,2,L,ACR,FB,not as good as axis gt mk2 but acceptable,,,,,,,,,,
485,0,2020,Ford,GT,,,,,,,,,USA,"$565,383.77 ",572,656,1457,392.5875086,MR,AT,,2,L,Axis/Paris,link,technically a facelift with new specs,,,,,,,,,,
486,0,1970,Ford,Mustang Mach 1,1:18.852,0,,,,,,,USA,"$24,672.09 ",259,402,1477,175.3554502,FR,MT,3,2,L,Joshua Widder,link,,,,,,,,,,,
487,0,1970,Ford,Mustang Mach 1 428,1:19.033,0,,,,,,,USA,"$26,482.34 ",301,477,1537,195.8360442,FR,MT,3,2,L,Joshua Widder,link,,,,,,,,,,,
488,0,1970,Ford,Mustang Boss 302,1:16.804,0,,,,,,,USA,"$28,058.76 ",270,320,1464,184.4262295,FR,MT,3.5,2,L,Joshua Widder,link,,,,,,,,,,,
489,0,1970,Ford,Mustang Boss 429,1:19.356,0,,,,,,,USA,"$30,826.92 ",367,499,1724,212.8770302,FR,MT,3,2,L,Joshua Widder,link,,,,,,,,,,,
490,0,1978,Ford,Mustang King Cobra,1:16.607,1,,,,,,,USA,"$28,502.52 ",139,339,1359,102.281089,FR,MT,3,2,L,Uncle M,link,tires are too grippy,,,,,,,,,,
491,0,1993,Ford,Mustang SVT Cobra R,,,,,,,,,USA,"$52,034.00 ",236,325,1415,166.7844523,FR,MT,,2,L,PedroBLR,link,,,,,,,,,,,
1486,0,1994,Ford,Mustang GT (SN95),,2,,,,,,,USA,"$34,044.44 ",236,417,1488,158.6021505,FR,MT,,2,L,MaidBoy,link,"very optimistic power, irl they dyno at around 180-190whp",,,,,,,,,,
1487,0,1994,Ford,Mustang SVT Cobra (SN95),,1,,,,,,,USA,"$41,943.39 ",236,376,1488,158.6021505,FR,MT,,2,L,MaidBoy,link,"optimistic power, irl dyno around 210-225",,,,,,,,,,
492,0,1995,Ford,Mustang SVT Cobra (SN95),,,,,,,,,USA,"$41,943.39 ",217,348,1520,142.7631579,FR,MT,,2,L,IXAssetto,FB,,,,,,,,,,,
1488,0,1995,Ford,Mustang SVT Cobra R (SN95),,1,,,,,,,USA,"$59,242.07 ",271,444,1458,185.8710562,FR,MT,,2,L,MaidBoy,link,optimistic power,,,,,,,,,,
493,0,2000,Ford,Mustang SVT Cobra R (SN95),1:09.868,0,SM,1:08.201,0,,,,USA,"$93,464.62 ",340,459,1680,202.3809524,FR,MT,3,2,L,101Creative (AO Mods),Patreon,,,,,,,,,,,
494,0,2010,Ford,Mustang GT (S197),1:10.881,0,,,,,,,USA,"$37,572.46 ",377,471,1617,233.1478046,FR,MT,,2,L,Ford,irl,,,,,,,,,,,
495,0,2012,Ford,Mustang Boss 302 Laguna Seca (S197),1:05.071,0,,,,,,,USA,"$62,437.16 ",416,481,1603,259.5134124,FR,MT,3.5,2,L,A3DR (U. Kuznetsov Anton),link,,,,,,,,,,,
496,41,2015,Ford,Mustang Ecoboost (S550),1:10.357,0,,,,,,,USA,"$32,097.23 ",272,393,1660,163.8554217,FR,AT,,2,L,Ford,irl,,,,,,,,,,,
497,41,2015,Ford,Mustang Ecoboost (S550),1:08.775,1,SM,1:07.970,3,,,,USA,"$32,097.23 ",289,389,1605,180.0623053,FR,MT,3.5,2,L,IXAssetto,FB,,,,,,,,,,,
498,0,2018,Ford,Mustang Ecoboost (S550),1:09.071,0,SM,1:08.066,0,,,,USA,"$31,734.63 ",280,429,1583,176.879343,FR,AT,3.5,2,L,IXAssetto,FB,,,,,,,,,,,
499,0,2018,Ford,Mustang Ecoboost HPP (S550),,,,,,,,,USA,"$34,713.48 ",298,429,1647,180.9350334,FR,,,2,L,IXAssetto,FB,,,,,,,,,,,
500,0,2015,Ford,Mustang V6 (S550),,,,,,,,,USA,"$30,158.68 ",265,349,1599,165.7285804,FR,MT,,2,L,IXAssetto,FB,,,,,,,,,,,
501,0,2015,Ford,Mustang GT (S550),1:08.418,0,SM,1:07.269,0,,,,USA,"$40,654.02 ",381,488,1680,226.7857143,FR,MT,4,2,L,Kunos,AC,,,,,,,,,,,
502,0,2018,Ford,Mustang GT (S550),,,,,,,,,USA,"$42,151.62 ",423,523,1681,251.635931,FR,,,2,L,IXAssetto,FB,,,,,,,,,,,
503,0,2018,Ford,Mustang GT PP2 (S550),,,,,,,,,USA,"$49,740.89 ",423,523,1692,250,FR,,,2,L,IXAssetto,FB,,,,,,,,,,,
504,0,2021,Ford,Mustang GT Mach 1 (S550),,,,,,,,,USA,"$67,766.46 ",440,523,1754,250.8551881,FR,MT,,2,L,IXAssetto,FB,,,,,,,,,,,
505,0,2021,Ford,Mustang GT Mach 1 (S550),1:03.686,1,,,,,,,USA,"$67,766.46 ",481,570,1680,286.3095238,FR,MT,4,2,L,Mr DK,link,"cup 2 for the lap time, too much power otherwise",,,,,,,,,,
506,0,2016,Ford,Mustang Shelby GT350R,1:04.505,0,SM,1:03.059,1,,,,USA,"$77,423.50 ",463,506,1680,275.5952381,FR,MT,4.5,2,L,101Creative (AO Mods),Patreon,enjoyable and good turn plus p good ffb to boot,,,,,,,,,,
507,0,2016,Ford,Mustang Shelby GT350R,,,,,,,,,USA,"$77,423.50 ",506,479,1641,308.3485679,FR,MT,,2,L,IXAssetto,FB,,,,,,,,,,,
