Rank,Vehicle,Driver,Time,PS / KG
87.,Nissan Skyline GT-R V-Spec N1,unknown,1:05.10,280 / -
88.,Mitsubishi Lancer Evo IX GSR,unknown,1:05.10,280 / 1479
89.,Mitsubishi Lancer Evo VII RS,unknown,1:05.11,284 / 1320
90.,Mitsubishi Lancer Evo VI,unknown,1:05.15,280 / 1375
91.,Honda NSX Type-S Zero,unknown,1:05.17,290 / 1280
92.,Mitsubishi Lancer Evo VIII,unknown,1:05.20,265 / 1491
93.,Ferrari 360 Modena,unknown,1:05.21,400 / 1451
94.,Porsche Panamera Turbo,unknown,1:05.22,500 / 1980
95.,Porsche 911 Turbo (997),Takayuki Kinoshita,1:05.23,480 / 1618
96.,Ferrari F355,unknown,1:05.26,380 / 1447
97.,Skyline GT-R Autech 40th Anni..,unknown,1:05.29,280 / -
98.,Lancer Evo VIII RS 6MT,unknown,1:05.30,280 / 1350
99.,Mitsubishi Lancer Evo IX RS,unknown,1:05.33,280 / -
100.,BMW M3 (E92),unknown,1:05.33,420 / 1628
101.,Porsche 911 Carrera S,unknown,1:05.35,385 / 1464
102.,Mitsubishi Lancer Evo VI RS,unknown,1:05.36,280 / -
103.,Lancer Evo VIII RS MR 5MT,unknown,1:05.38,280 / 1310
104.,Honda NSX (facelift),unknown,1:05.41,290 / 1368
105.,Honda NSX-R,Motoharu Kurosawa,1:05.41,280 / 1323
106.,Porsche 911 Carrera (991),unknown,1:05.44,350 / 1434
107.,Porsche 911 Carrera S (997),unknown,1:05.48,355 / 1470
108.,Porsche 911 Turbo (997),unknown,1:05.49,480 / 1618
109.,Mitsubishi Lancer EVO IX,unknown,1:05.53,290 / 1481
110.,Nissan Skyline GT-R (R33),unknown,1:05.56,280 / 1601
111.,Porsche 911 Carrera,unknown,1:05.58,345 / 1468
112.,Porsche 911 Turbo (996),unknown,1:05.65,420 / 1573
113.,Venturi 400 GT,unknown,1:05.66,408 / 1140
114.,Subaru Impreza WRX STI,unknown,1:05.67,308 / 1480
115.,Lancer Evo VI GSR Tommi Makin..,unknown,1:05.69,280 / 1365
116.,Nissan Skyline GT-R M-Spec,unknown,1:05.70,280 / -
117.,Mitsubishi Lancer Evo IX RS MR,unknown,1:05.70,280 / -
118.,Toyota Supra RZ (Mk IV),unknown,1:05.78,284 / 1640
119.,Mercedes-Benz A 45 AMG,Akihiko Nakaya,1:05.80,360 / 1507
120.,Ferrari F50,unknown,1:05.81,520 / 1334
