Year,Brand,Model,Lap Time I, RC,Tire II,Lap Time II,RC,Tire III,Lap Time III,RC,Country,MSRP (2022 USD),WHP,WTorque,Weight,P/W (kg/hp),Layout,Trans,Rating,_HD,Author,Source,Comments / Other Times,,,,,,,
2021,BMW,M440i xDrive (G22),1:06.95,0,,,,,,,Germany,"$60,170.00",384,570,1789,4.658854167,F4,AT,,R,BMW,irl,,,,,,,,
1994,BMW,540i (E34),,,,,,,,,Germany,"$93,385.46",272,360,1605,5.900735294,FR,AT,,L,Fazani,link,,,,,,,,
2015,BMW,535i (F11),,,,,,,,,Germany,"$66,601.98",303,408,1605,5.297029703,FR,AT,,L,PTT Mods,patreon,,,,,,,,
2020,BMW,M550d xDrive (G30),,,,,,,,,Germany,"$99,790.12",393,814,1935,4.923664122,F4,AT,,L,SELEXYS,patreon,too much power/tq,,,,,,,
1973,BMW,2002 Turbo,,,,,,,,,Germany,"$44,521.20",145,209,1080,7.448275862,FR,MT,,L,MNBA,patreon,,,,,,,,
1973,BMW,2002 Turbo,1:15.080,0,,,,,,,Germany,"$44,521.20",142,201,990,6.971830986,FR,MT,3.5,L,AC Cars Reworked,link,,,,,,,,
1978,BMW,M1 (E26),1:11.889,0,,,,,,,Germany,"$318,658.90",242,289,1350,5.578512397,MR,MT,5,L,Jandrovi,Youtube,"very rewarding and has accurate grip for the time (1978), time could be faster but thats bc im bad at no abs",,,,,,,
1979,BMW,M1 (E26),,,,,,,,,Germany,"$318,658.90",233,280,1300,5.579399142,MR,MT,,L,Binary Motors,Discord,,,,,,,,
2015,BMW,i8 Coupe,,,,,,,,,Germany,"$175,229.10",334,521,1485,4.446107784,MR,AT,,L,RTM (u. ET),link,,,,,,,,
2011,BMW,1M (E82),1:05.937,0,,,,,,,Germany,"$62,029.90",310,467,1495,4.822580645,FR,MT,4,L,Kunos,AC,,,,,,,,
2015,BMW,M2 (F87),1:04.219,0,MPS4,1:02.905,2,,,,Germany,"$65,988.08",365,466,1495,4.095890411,FR,B,4,L,MNBA,Patreon,seems a little fast in both accel and grip but enjoyable and this is true of all the mnba m2's,,,,,,,
2018,BMW,M2 Competition (F87),1:03.839,0,MPS4,1:02.493,2,,,,Germany,"$74,045.46",412,550,1633,3.963592233,FR,B,4,L,MNBA,Patreon,"street tire is ""Continental Sport Contact"" which seems about right but a little too grippy and ""MPS4"" is way too grippy",,,,,,,
2018,BMW,M2 Competition (F87),,,,,,,,,Germany,"$74,045.46",377,497,1572,4.169761273,FR,AT,,L,TGN,Patreon,,,,,,,,
2020,BMW,M2 CS (F87),1:06.432,0,SM,0:59.853,3,,,,Germany,"$96,899.77",445,561,1595,3.584269663,FR,B,3,L,MNBA,Patreon,"seems extremely under-tired on ""street"" tires and severely over-tired on ""semislicks"" which is in combination w optimistic whp/wtq ",,,,,,,
2023,BMW,M2 (G87),,,,,,,,,Germany,"$62,200.00",416,552,1725,4.146634615,FR,B,,L,Ceky Performance,Patreon,,,,,,,,
1986,BMW,M3 (E30),1:11.718,0,ST,1:09.878,0,SM,1:08.768,1,Germany,"$88,833.38",209,211,1200,5.741626794,FR,MT,4,L,Kunos,AC,,,,,,,,
1986,BMW,M3 (E30),1:09.48,0,,,,,,,Germany,"$88,833.38",167,197,1237,7.407185629,FR,MT,,L,BMW,irl,,,,,,,,
1995,BMW,M3 (E36),,,,,,,,,Germany,"$83,761.77",278,310,1440,5.179856115,FR,MT,,L,Jandrovi,Youtube,,,,,,,,
1995,BMW,M3 (E36),1:08.900,0,,,,,,,Germany,"$83,761.77",276,318,1460,5.289855072,FR,MT,3.5,L,MNBA,Patreon,,,,,,,,
1995,BMW,M3 US (E36),1:08.708,0,,,,,,,Germany (USDM),"$65,188.51",258,309,1460,5.658914729,FR,MT,3.5,L,MNBA,Patreon,usdm m3 has the faster time because US 5 speed has gear ratios better suited to tsukuba + tested after euro m3 ,,,,,,,
1995,BMW,M3 (E36),1:08.46,0,,,,,,,Germany,"$83,761.77",262,310,1462,5.580152672,FR,MT,,L,BMW,irl,,,,,,,,
2003,BMW,M3 (E46),1:06.617,0,,,,,,,Germany,"$84,249.23",288,322,1470,5.104166667,FR,MT,4.5,L,Mushrooms,link,"very good respresentation of an m3, fun to drive, but ar little light",,,,,,,
2001,BMW,M3 SMG II (E46),1:06.882,0,,,,,,,Germany,"$84,249.23",322,343,1520,4.720496894,FR,AT,4.5,L,Jandrovi,Youtube,"echoing sentiments from mushrooms m3, smg managed to annoy me in the virtual world too, a testament to the smg's ability to be insufferable",,,,,,,
2002,BMW,M3 (E46),1:07.11,0,,,,,,,Germany,"$84,249.23",285,323,1530,5.368421053,FR,MT,,L,BMW,irl,,,,,,,,
2003,BMW,M3 CSL (E46),1:06.88,0,,,,,,,Germany,"$156,235.54",306,311,1385,4.526143791,FR,AT,,L,BMW,irl,,,,,,,,
2007,BMW,M3 (E90),1:06.632,0,MPS,1:04.930,0,,,,Germany,"$73,752.93",379,368,1530,4.036939314,FR,MT,4,L,MNBA,Patreon,"times seem about right, pilotsports are kinda magic irl",,,,,,,
2007,BMW,M3 (E90),1:06.154,0,,,,,,,Germany,"$73,752.93",351,344,1658,4.723646724,FR,MT,,R,BMW,irl,,,,,,,,
2008,BMW,M3 (E92),1:08.237,0,SM,1:04.917,0,,,,Germany,"$77,888.61",367,358,1550,4.223433243,FR,B,3.5,L,TGN,Patreon,grip levels seem unrealistic,,,,,,,
2015,BMW,M3 (E92),1:07.564,0,SM,1:04.592,1,,,,Germany,"$77,888.61",356,348,1605,4.508426966,FR,AT,3,L,Kunos,AC,sound is lacking,,,,,,,
2013,BMW,M3 (E92),1:06.357,0,,,,,,,Germany,"$77,888.61",414,400,1680,4.057971014,FR,B,4,,MNBA,Patreon,time could be a little faster but grip levels felt much more realistic for both street and semislick tires,,,,,,,
2007,BMW,M3 (E92),1:05.33,0,,,,,,,Germany,"$77,888.61",351,344,1627,4.635327635,FR,MT,,R,BMW,irl,,,,,,,,
2018,BMW,M3 (F80),1:04.260,0,SM,1:04.020,0,,,,Germany,"$78,798.75",369,484,1636,4.433604336,FR,AT,3.5,L,MNBA,Patreon,mnba f80s seem too fast,,,,,,,
2014,BMW,M3 (F80),1:04.40,0,,,,,,,Germany,"$78,798.75",379,512,1604,4.232189974,FR,AT,,R,BMW,irl,,,,,,,,
2018,BMW,M3 Competition (F80),1:03.443,1,SM,1:02.933,2,,,,Germany,"$85,632.79",388,506,1632,4.206185567,FR,B,3.5,L,MNBA,Patreon,^,,,,,,,
2018,BMW,M3 CS (F80),1:04.293,0,SM,1:02.670,2,,,,Germany,"$117,249.97",394,514,1585,4.02284264,FR,AT,3.5,L,MNBA,Patreon,^,,,,,,,
2021,BMW,M3 Competition (G80),1:00.693,3,MPSC2R,0:59.330,3,,,,Germany,"$80,800.00",497,660,1855,3.732394366,F4,AT,3,L,MNBA,Patreon,mnba g80 sending around 10-15 hp and 70 nm too much to the wheels --> way too fast and is way too grippy,,,,,,,
2021,BMW,M3 Competition (G80),1:03.963,0,MPSC2R,1:01.556,2,,,,Germany,"$80,800.00",449,587,1855,4.131403118,F4,AT,4,L,TGN,Patreon,"1:01.556 on Cup 2 R's, tgn g80 seems about right and feels way more natural at the limit;  Cup 2 R's overheat but that makes sense because this m5 in m3 drag weighs about as much as 2 moons",,,,,,,
2014,BMW,M4 (F82),,,,,,,,,Germany,"$81,585.04",371,487,1647,4.4393531,FR,AT,,L,MNBA,Patreon,,,,,,,,
2015,BMW,M4 (F82),1:06.873,0,SM,1:05.325,0,,,,Germany,"$81,585.04",373,495,1572,4.214477212,FR,AT,3,L,Kunos,AC,,,,,,,,
2014,BMW,M4 (F82),1:04.808,0,,,,,,,Germany,"$81,585.04",379,512,1600,4.221635884,FR,AT,,R,BMW,irl,,,,,,,,
2016,BMW,M4 GTS (F82),1:02.478,0,MPS4S,1:02.013,1,,,,Germany,"$165,960.30",444,588,1600,3.603603604,FR,AT,3.5,L,Tony Cooke,FB,,,,,,,,
2018,BMW,M4 Competition (F82),,,,,,,,,Germany,"$92,533.38",388,506,1515,3.904639175,FR,AT,,L,MNBA,Patreon,,,,,,,,
2018,BMW,M4 CS (F82),1:03.542,1,MPS4S,1:02.694,1,,,,Germany,"$122,979.85",444,588,1585,3.56981982,FR,AT,3.5,L,Tony Cooke,FB,,,,,,,,
2019,BMW,M4 CS (F82),,,,,,,,,Germany,"$122,979.85",400,523,1580,3.95,FR,AT,,L,MNBA,Patreon,,,,,,,,
2021,BMW,M4 (G82),1:03.265,1,MPSC2,0:59.732,3,,,,Germany,"$74,700.00",482,629,1572,3.261410788,FR,MT,3,L,MNBA,Patreon,way too fast + mnba g82 too light (csl???)+ makes comp level of power,,,,,,,
2021,BMW,M4 Competition (G82),1:02.965,1,MPSC2,0:59.001,3,,,,Germany,"$78,600.00",482,629,1572,3.261410788,FR,AT,3,L,MNBA,Patreon,mnba g82 too light (csl???) + comp same power + weight as base,,,,,,,
2021,BMW,M4 Competition (G82),,,,,,,,,Germany,"$78,600.00",455,495,1475,3.241758242,F4,AT,,L,TGN,Patreon,way too light,,,,,,,
2023,BMW,M4 CSL (G82),,,,,,,,,Germany,"$139,900.00",482,629,1540,3.195020747,FR,AT,,L,Ceky Performance,Patreon,power too low ?,,,,,,,
1985,BMW,M5 (E28),,,,,,,,,Germany,"$116,665.87",248,295,1430,5.766129032,FR,MT,,L,Binary Motors (Jerry Wei),,,,,,,,,
1992,BMW,M5 (E34),1:09.750,0,,,,,,,Germany,"$127,374.65",267,309,1150,4.307116105,FR,MT,3.5,L,Redlex,link,too light according to cm but doesnt seem to translate in lap time because hp is too low (inaccurate),,,,,,,
1994,BMW,M5 (E34),,,,,,,,,Germany,"$127,374.65",241,295,1650,6.846473029,FR,MT,,L,RemcoJZA80 et al.,,,,,,,,,
1992,BMW,M5 (E34),1:09.81,0,,,,,,,Germany,"$127,374.65",269,316,1720,6.394052045,FR,MT,,L,BMW,irl,,,,,,,,
2000,BMW,M5 (E39),1:08.525,0,SM,1:06.217,1,,,,Germany,"$119,619.48",393,500,1720,4.376590331,FR,MT,3.5,L,Pclipse,link,,,,,,,,
2006,BMW,M5 (E60),1:06.619,0,,,,,,,Germany,"$127,932.20",460,473,1830,3.97826087,FR,AT,4,L,Jandrovi,Youtube,,,,,,,,
2005,BMW,M5 (E60),1:06.56,0,,,,,,,Germany,"$127,932.20",439,446,1878,4.277904328,FR,AT,,L,BMW,irl,,,,,,,,
2012,BMW,M5 (F10),1:06.114,0,MPSC2,1:03.516,2,,,,Germany,"$117,898.94",480,622,1870,3.895833333,FR,AT,3.5,L,VR Driving (Jerry Wei),Discord,,,,,,,,
2014,BMW,M5 (F10 LCI),,,,,,,,,Germany,"$117,898.94",500,604,1945,3.89,FR,AT,,L,Fazani,link,,,,,,,,
2019,BMW,M5 Competition (F90),,,,,,,,,Germany,"$117,495.00",543,651,1885,3.47145488,FR,AT,,L,forceful,link,,,,,,,,
2022,BMW,M5 CS (F90),1:02.703,0,SM,0:59.598,1,,,,Germany,"$157,725.36",575,728,1895,3.295652174,F4,AT,3.5,L,TGN,Patreon,,,,,,,,
1984,BMW,M635i (E24),,,,,,,,,Germany,"$154,334.64",248,295,1505,6.068548387,FR,MT,,L,Binary Motors (Jerry Wei),link,,,,,,,,
1999,BMW,850CSi (E31),,,,,,,,,Germany,"$198,105.18",373,550,1862,4.991957105,FR,MT,,L,PTT Mods,patreon,power little too high,,,,,,,
2005,BMW,M6 (E63),1:07.43,0,,,,,,,Germany,"$146,924.38",439,446,1765,4.020501139,FR,AT,,L,BMW,irl,,,,,,,,
2010,BMW,M6 (E63),,,,,,,,,Germany,"$146,924.38",523,517,1859,3.554493308,FR,MT,,L,?,link,power too high,,,,,,,
2012,BMW,M6 (F13),1:03.862,2,MPSC2,1:02.427,3,,,,Germany,"$139,226.10",480,622,1894,3.945833333,FR,AT,3.5,L,MNBA,Patreon,,,,,,,,
2020,BMW,M8 Gran Coupe,,,,,,,,,Germany,"$134,100.00",617,737,1955,3.168557536,FR,AT,,L,MoulagaZzZ,link,,,,,,,,
2020,BMW,M8 Competition xDrive,1:02.143,2,,,,,,,Germany,"$169,722.26",606,718,1885,3.110561056,F4,AT,3.5,L,Jandrovi,Youtube,,,,,,,,
2013,BMW,X1 sDrive20d (E84),,,,,,,,,Germany,"$49,805.34",157,364,1745,11.11464968,FR,AT,,L,Just Kauser,Youtube,,,,,,,,
2022,BMW,X3 M Competition (F97),,,,,,,,,Germany,"$79,900.00",496,603,2015,4.0625,F4,AT,,L,TGN,Patreon,very optimistic power,,,,,,,
2019,BMW,X5 M (G05),,,,,,,,,Germany,"$118,200.00",592,750,2405,4.0625,F4,AT,,L,PTT Mods,Patreon,,,,,,,,
2015,BMW,X6 M (F86),,,,,,,,,Germany,"$129,569.34",568,750,2300,4.049295775,F4,AT,,L,MNBA,Patreon,wtq too high?,,,,,,,
2020,BMW,X6 M (G06),,,,,,,,,Germany,"$113,700.00",522,701,2300,4.406130268,F4,AT,,L,MNBA,Patreon,,,,,,,,
2019,BMW,X7 M50i (G07),,,,,,,,,Germany,"$87,302.77",457,652,2405,5.262582057,F4,AT,,L,PTT Mods,Patreon,,,,,,,,
2001,BMW,Z8,,,,,,,,,Germany,"$128,000.00",390,500,1615,4.141025641,FR,MT,,L,Dr. Rashid Kabaddi,link,,,,,,,,
2002,BMW,Z3 M Coupe,1:07.606,0,SM,1:04.624,3,,,,Germany (USDM),"$75,706.15",282,279,1385,4.911347518,FR,MT,3,L,101Creative (AO Mods),Patreon,,,,,,,,
2002,BMW,Z3 M Coupe,,,,,,,,,Germany,"$75,706.15",280,308,1315,4.696428571,FR,MT,,L,WKMOD,,,,,,,,,
1997,BMW,Z3 M Roadster,1:08.17,0,,,,,,,Germany,"$77,388.89",262,310,1390,5.305343511,FR,MT,,L,BMW,irl,,,,,,,,
2008,BMW,Z4 M Coupe (E86),1:08.115,0,SM,1:06.749,0,,,,Germany,"$75,382.55",298,322,1515,5.083892617,FR,MT,3.5,L,101Creative (AO Mods),Patreon,,,,,,,,
2003,BMW,Z4 3.0i (E85),1:08.73,0,,,,,,,Germany,"$65,190.13",212,271,1404,6.622641509,FR,MT,,L,BMW,irl,,,,,,,,
2009,BMW,Z4 sDrive35is (E89),1:08.234,0,SM,1:07.239,1,,,,Germany,"$71,746.69",287,433,1605,5.592334495,FR,AT,3.5,L,Kunos,AC,,,,,,,,
2009,BMW,Z4 sDrive35is (E89),1:07.80,0,,,,,,,Germany,"$71,746.69",293,411,1598,5.453924915,FR,AT,,L,BMW,irl,,,,,,,,
2019,BMW,Z4 M40i (G29),1:13.195,-1,,,,,,,Germany,"$65,300.00",366,510,1570,4.289617486,FR,AT,,R,BMW,irl,wet track,,,,,,,
2019,BMW,Z4 M40i (G29),,,,,,,,,Germany,"$65,300.00",336,500,1605,4.776785714,FR,AT,,L,PTT Mods,Patreon,,,,,,,,
1992,Bugatti,EB110 Super Sport,1:03.750,0,SM,1:02.368,0,,,,France,"$765,816.45",459,490,1418,3.089324619,M4,MT,3.5,L,AC Cars Reworked,link,,,,,,,,
2015,Bugatti,Veyron Grand Sport Vitesse,1:01.825,0,,,,,,,France,"$2,250,000.00",1000,1272,1495,1.495,M4,AT,3,L,Jandrovi,Youtube,,,,,,,,
2016,Bugatti,Chiron,0:56.905,1,,,,,,,France,"$3,300,000",1311,1447,1995,1.52173913,M4,AT,3,L,?,link,,,,,,,,
2021,Bugatti,Chiron Pur Sport,,,,,,,,,France,"$3,599,000",1311,1626,1945,1.483600305,M4,AT,,L,EX Mods,link,torque too high,,,,,,,
1970,Buick,GSX,,,,,,,,,USA,"$34,401.95",340,500,1758,5.170588235,FR,MT,,L,slivkasl,link,,,,,,,,
1987,Buick,GNX V6,,,,,,,,,USA,"$78,438.02",275,488,1470,5.345454545,FR,MT,,L,?,link,,,,,,,,
2009,Cadillac,CTS-V,,,,,,,,,USA,"$83,338.68",513,747,1950,3.801169591,FR,AT,,L,?,,,,,,,,,
2007,Caparo,T1,0:57.220,0,,,,,,,Britain,"$675,529.51",500,361,637,1.274,MR,SEQ,4,M,Jandrovi,Youtube,,,,,,,,
2013,Caterham,165,1:13.513,0,,,,,,,Britain,"$30,610.07",69,94,490,7.101449275,FR,MT,4,B,Ben O'Bro,RD,,,,,,,,
1995,Caterham,Super7 1700 Super Sprint,1:07.770,0,,,,,,,Britain,,122,142,540,4.426229508,FR,MT,4,B,Ben O'Bro,RD,,,,,,,,
2009,Caterham,R300,1:05.913,0,,,,,,,Britain,"$62,219.87 ",148,160,515,3.47972973,FR,MT,,R,Caterham,irl,,,,,,,,
2009,Caterham,Superlight R500,,,,,,,,,Britain,"$82,223.24",229,225,670,2.925764192,FR,MT,,R,101Creative,PAtreon,,,,,,,,
2005,Chevrolet,Cobalt SS (SC),1:11.549,0,,,,,,,USA ,"$33,562.59",176,227,1325,7.528409091,FF,MT,4,L,PedroBLR,link,both cobalts are fun with lift off oversteer- no idea if thats accurate never driven a cobalt,,,,,,,
2010,Chevrolet,Cobalt SS (TC),1:09.967,0,,,,,,,USA,"$33,470.21",232,299,1325,5.711206897,FF,MT,4,L,PedroBLR,link,,,,,,,,
1969,Chevrolet,Camaro Z/28 (G1),1:14.060,1,,,,,,,USA,"$25,862.89",302,392,1500,4.966887417,FR,MT,3,L,smallblockhero,,,,,,,,,
1969,Chevrolet,Camaro Z/28 (G1),,,,,,,,,USA,"$25,862.89",296,447,1500,5.067567568,FR,MT,,L,smallblockhero,,,,,,,,,
1990,Chevrolet,Camaro IROC-Z (G3),1:11.473,1,,,,,,,USA,"$33,187.18",230,407,1480,6.434782609,FR,MT,3.5,L,Uncle M,link,,,,,,,,
2002,Chevrolet,Camaro SS (G4),1:08.764,3,,,,,,,USA,"$39,881.02",281,413,1547,5.505338078,FR,MT,2,L,Uncle M,link,too grippy,,,,,,,
2010,Chevrolet,Camaro SS (G5),1:09.021,0,SM,1:07.084,1,,,,USA,"$42,360.14",415,475,1751,4.219277108,FR,MT,3,L,PedroBLR,link,,,,,,,,
2010,Chevrolet,Camaro SS,1:10.67,0,,,,,,,USA,"$42,360.14",366,497,1768,4.830601093,FR,MT,,L,Chevrolet,irl,,,,,,,,
2015,Chevrolet,Camaro Z/28 (G5),1:03.909,0,,,,,,,USA,"$94,412.76",504,652,1751,3.474206349,FR,MT,3.5,L,JustKapi,Patreon,too much power,,,,,,,
2017,Chevrolet,Camaro SS (G6),1:07.579,0,SM,1:05.702,1,,,,USA,"$47,059.69",419,455,1680,4.009546539,FR,MT,3.5,L,?,link,,,,,,,,
2019,Chevrolet,Camaro RS 1LE (G6),1:05.823,2,,,,,,,USA,"$36,129.91",288,334,1675,5.815972222,FR,B,,L,JustKapi,Patreon,,,,,,,,
2019,Chevrolet,Camaro SS 1LE (G6),,,,,,,,,USA,"$47,995.00",395,537,1675,4.240506329,FR,B,,L,JustKapi,Patreon,,,,,,,,
2017,Chevrolet,Camaro ZL1 (G6),1:03.732,0,,,,,,,USA,"$68,395.00",568,769,1789,3.149647887,FR,,3,L,IXAssetto,FB,,,,,,,,
2019,Chevrolet,Camaro ZL1 (G6),,,,,,,,,USA,"$70,090.00",562,711,1789,3.183274021,FR,B,,L,JustKapi,Patreon,,,,,,,,
2018,Chevrolet,Camaro ZL1 1LE (G6),1:02.031,2,,,,,,,USA,"$77,590.00",568,769,1733,3.051056338,FR,,3.5,L,IXAssetto,FB,,,,,,,,
2018,Chevrolet,Camaro ZL1 1LE (G6),1:05.135,0,SM,0:59.683,3,,,,USA,"$77,590.00",647,878,1740,2.689335394,FR,B,2,L,PTT Mods,Patreon,"too much power, grip on semis",,,,,,,
1959,Chevrolet,Corvette (C1),1:13.951,3,,,,,,,USA,"$39,683.73",280,380,1500,5.357142857,FR,MT,4,L,Stereo,RD,enjoyable and believable although a little too fast for stock tires,,,,,,,
1967,Chevrolet,Corvette 427 (C2),1:12.257,2,SM,1:08.806,3,,,,USA,"$47,610.54",328,527,1624,4.951219512,FR,MT,3,L,?,link,,,,,,,,
1970,Chevrolet,Corvette LT-1 (C3),,,,,,,,,USA,"$39,256.17",305,426,1450,4.754098361,FR,MT,,L,smallblockhero,link,,,,,,,,
1992,Chevrolet,Corvette (C4),1:13.46,0,,,,,,,USA,"$74,001.37",235,404,1539,6.54893617,FR,MT,,L,Chevrolet,irl,,,,,,,,
1990,Chevrolet,Corvette ZR-1 (C4),1:07.633,0,SM,1:06.276,1,,,,USA,"$132,617.53",337,435,1503,4.459940653,FR,MT,3.5,L,Some1,RD,,,,,,,,
2002,Chevrolet,Corvette Z06 (C5),1:04.392,3,,,,,,,USA,"$80,863.73",376,502,1503,3.997340426,FR,MT,4,L,Lucas Macedo,link,feel is good and resembles reality but overall pace seems too high,,,,,,,
2006,Chevrolet,Corvette (C6),1:06.041,0,,,,,,,USA,"$65,766.64",380,505,1380,3.631578947,FR,MT,3.5,L,Some1,RD,,,,,,,,
2010,Chevrolet,Corvette Grand Sport (C6),1:05.151,0,,,,,,,USA,"$77,400.30",380,505,1380,3.631578947,FR,MT,4,L,Some1,RD,,,,,,,,
2007,Chevrolet,Corvette Z06 (C6),1:02.724,2,,,,,,,USA,"$97,267.81",445,560,1380,3.101123596,FR,MT,4,L,Some1,RD,z06 powerband and power much better suited to tsukuba than either ZR-1's but also seems too fast even considering that,,,,,,,
2007,Chevrolet,Corvette Z06 (C6),1:06.02,0,,,,,,,USA,"$97,267.81",445,580,1446,3.249438202,FR,MT,,L,Chevrolet,irl,,,,,,,,
2009,Chevrolet,Corvette ZR-1 (C6),1:03.133,0,,,,,,,USA,"$145,854.84",555,713,1380,2.486486486,FR,MT,2.5,L,Some1,RD,horrifically twitchy which doesnt make sense bc z06 above handled fine,,,,,,,
2010,Chevrolet,Corvette ZR-1 (C6),1:04.513,0,SM,1:02.568,0,,,,USA,"$145,854.84",555,713,1508,2.717117117,FR,MT,4,L,BZ Simworks,FB,much better ffb and handling characteristics than Some1 ZR-1 C6,,,,,,,
2010,Chevrolet,Corvette ZR1 (C6),1:02.55,0,,,,,,,USA,"$145,854.84",547,725,1526,2.78976234,FR,MT,,L,Chevrolet,irl,,,,,,,,
2014,Chevrolet,Corvette Stingray (C7),1:06.050,0,HR,1:04.911,0,,,,USA,"$65,453.22",402,549,1496,3.721393035,FR,MT,3.5,L,Kunos,AC,,,,,,,,
2015,Chevrolet,Corvette Z06 (C7),1:00.822,3,,,,,,,USA,"$99,323.92",659,883,1598,2.424886191,FR,AT,2,L,IXAssetto,FB,"power too high, way too fast, too much grip, not even close",,,,,,,
2019,Chevrolet,Corvette ZR1 (C7),,,,,,,,,USA,"$142,322.35",659,726,1615,2.450682853,FR,AT,,L,IXAssetto,link,,,,,,,,
2020,Chevrolet,Corvette Stingray 3LT (C8),1:04.472,0,SM,1:03.705,0,,,,USA,"$77,845.00",426,548,1604,3.765258216,MR,AT,4,L,Nicolas D. (u. Jerry Wei),Discord,,,,,,,,
2020,Chevrolet,Corvette Stingray Z51 (C8),1:03.691,0,,,,,,,USA,"$84,190.00",431,554,1604,3.721577726,MR,AT,4,L,Nicolas D. (u. Jerry Wei),Discord,both C8's very enjoyable and good drivers cars,,,,,,,
2023,Chevrolet,Corvette Z06 3LZ (C8),0:58.542,1,,,,,,,USA,"$120,545.00",586,546,1561,2.663822526,MR,AT,4,L,Binary Motors (Jerry Wei),Discord,"tires are way too grippy, feel like slicks; car is otherwise quite enjoyable",,,,,,,
2011,Chevrolet,Spark,,,,,,,,,USA,"$17,216.52",97,122,910,9.381443299,FF,MT,,L,ASKHD11,link,power too high,,,,,,,
2011,Chevrolet,Volt,,,,,,,,,USA,"$54,319.14",183,181,1708,9.333333333,FF,AT,,L,Assettoland,link,power too high but is a hybrid mod in ac so idk,,,,,,,
2014,Chevrolet,SS,1:07.969,0,SM,1:01.908,3,,,,USA,"$57,616.96",414,563,1803,4.355072464,FR,MT,2,L,Bruce K.,link,on nonmagic tires ffb is terrible and wheel hop under breaking is so endemic it doesnt make sense at all and magic tires barely make up for it while being hilariously fast,,,,,,,
2019,Chevrolet,Blazer,,,,,,,,,USA,"$47,095.00",308,366,1926,6.253246753,F4,AT,,L,JustKapi,Patreon,power too high,,,,,,,
1971,Chevrolet,Cheyenne C-10,,,,,,,,,USA,,104,255,1930,18.55769231,FR,MT,,L,Lucas Macedo,,,,,,,,,
1970,Citreoen,2CV,,,,,,,,,France,,25,42,585,23.4,FF,MT,,L,Uncle M,link,,,,,,,,
1975,Citreoen,DS 23,,,,,,,,,France,,119,180,1345,11.30252101,FF,MT,,L,PedroBLR,link,,,,,,,,
1998,Citreoen,Saxo VTS,,,,,,,,,France,,117,144,868,7.418803419,FF,MT,,L,STK,link,power too high,,,,,,,
2011,Citreoen,DS3R,,,,,,,,,France,,178,243,1240,6.966292135,FF,MT,,L,101Creative,patreon,,,,,,,,
2021,Czinger,21C,,,,,,,,,USA,,1200,1104,1250,1.041666667,MR,AT,,M,DanielDi,,,,,,,,,
1970,Datsun,510,,,,,,,,,Japan,,57,69,545,9.561403509,FR,MT,,L,EarthWormJim90,link,,,,,,,,
1996,Daewoo,Tico,,,,,,,,,South Korea,,37,51,680,18.37837838,FF,MT,,L,SDW,patreon,,,,,,,,
2007,Daewoo,G2X Roadster,,,,,,,,,USA (South Korea),,274,358,1319,4.813868613,FR,MT,,L,SDW,Patreon,,,,,,,,
1971,De Tomaso,Pantera,,,,,,,,,Italy,,311,518,1417,4.556270096,MR,MT,,L,smallblockhero,link,,,,,,,,
1984,De Tomaso,Pantera GT5-S,1:07.775,0,SM,1:04.985,2,,,,Italy,,299,393,1474,4.929765886,MR,MT,3.5,L,Dan Bucsa,Patreon,joy to drive but feels alittle too fast and planted for an 80s supercar especially on 80s tires,,,,,,,
1983,DeLorean,DMC-12,,,,,,,,,USA,,214,277,1205,5.630841121,MR,MT,,L,Chivas AutoArt et al.,,,,,,,,,
2015,Dodge,RAM 2500,,,,,,,,,USA,,362,542,3013,8.32320442,F4,AT,,L,Bruce K.,link,,,,,,,,
1970,Dodge,Challenger R/T,1:08.096,3,,,,,,,USA,,362,567,1355,3.743093923,FR,MT,3,L,smallblockhero,link,"swings nicely but has way too much grip, feels like a nascar/ trans am car- not a street car",,,,,,,
2012,Dodge,Challenger SRT8 392,,,,,,,,,USA,,406,554,1853,4.564039409,FR,MT,,L,Orbit4L,link,,,,,,,,
2019,Dodge,Challenger Hellcat Redeye,1:05.804,0,SM,1:05.067,0,,,,USA,,692,834,2028,2.930635838,FR,AT,3,L,101Creative (AO Mods),Patreon,,,,,,,,
2008,Dodge,Magnum SRT8,,,,,,,,,USA,,402,452,1695,4.21641791,FR,,,L,GiorgiK0,link,,,,,,,,
2012,Dodge,Charger SRT8,1:08.813,0,,,,,,,USA,,470,637,1980,4.212765957,FR,AT,1,L,Bruce K.,link,ffb completely uncommunicative and broken,,,,,,,
2019,Dodge,Charger Pursuit V6 RWD,1:11.609,0,,,,,,,USA,,292,353,1855,6.352739726,FR,AT,3,L,Bruce K.,link,all charger police cars seem about right but are relatively boring to drive,,,,,,,
2019,Dodge,Charger Pursuit V6 AWD,1:11.416,0,,,,,,,USA,,292,353,1937.7,6.635958904,F4,AT,3,L,Bruce K.,link,,,,,,,,
2019,Dodge,Charger Pursuit V8 RWD,1:10.867,0,,,,,,,USA,,370,536,1969,5.321621622,FR,AT,3,L,Bruce K.,link,,,,,,,,
2019,Dodge,Charger Pursuit V8 AWD,1:08.814,0,,,,,,,USA,,370,536,2051.1,5.543513514,F4,AT,3,L,Bruce K.,link,"all ""bruce k"" cars seems to have unrealistic levels of grip on any tire option other than ""street"" in addition to bhp=whp ",,,,,,,
